"Agreement (3440 TPs, 2439 Unique TPS)",,,,Disagreements (Chiara Alignments) 669 TPS. 628 Unique TPS,,,,"Disagreements (Farnoosh Alignments) 719 TPS, 680 Unique TPS",,
GRC,ENG,Freq,,GRC,ENG,Freq,,GRC,ENG,Freq
καὶ,and,83,,τὸν δ᾽,him,4,,οὐ,nor,6
Κρίτων,Crito,39,,προσέφη,to spoke,3,,δ᾽,and,4
δὲ,and,32,,οὐ δ᾽,nor,3,,προσέφη,spoke,4
Σωκράτης,Socrates,30,,οὐ δέ,nor,3,,τὸν,to him,3
δ᾽,and,22,,τοῦτο,this,3,,τὸ,this,2
οὐ,not,21,,δ᾽,but,2,,μὲν δ᾽,but,2
ἐν,in,17,,τῷ,his,2,,κατ᾽ ἕζετο,he sat down,2
τε,and,15,,ἕζετο,he sat,2,,ἐὺ,good,2
τῶν,the,15,,κατ᾽,down,2,,φρονέων,with intent,2
ὅτι,that,15,,ἐὺ φρονέων,with good intent,2,,τὸν,him,2
ἐγὼ,I,14,,σὺ,you,2,,ἑκηβόλος,the god who strikes from afar,2
Σώκρατες,Socrates,14,,μὰ,by,2,,δέ,and,2
γὰρ,for,12,,ἑκηβόλος,who strikes from afar,2,,τὴν,her,2
γὰρ,For,12,,ὁμῶς,for,2,,θεὰ,The goddess,2
ἢ,or,12,,θεὰ,goddess,2,,δὲ,and,2
ἀλλὰ,but,11,,πρὸ,forth,2,,τὸ,that,2
νῦν,now,11,,ἄμφω,both,2,,καὶ,and,2
εἰ,if,11,,καὶ,and,2,,ἔστι,is,2
Ἀχαιῶν,of the Achaeans,10,,πάνυ,very,2,,μοι,I,2
τὰ,the,10,,ἔστι,is true,2,,δὲ,And,2
σὺ,you,10,,δὲ,and,2,,τῶν,the,2
μὴ,not,10,,οἱ,the,2,,οὐδὲ,not,2
καὶ,also,10,,οἷοί,able,2,,σοι,you,2
οὐκ,not,9,,δὲ,for,2,,δοκεῖ,think,2
σε,you,8,,καὶ,even,2,,οἱ,who,2
με,me,8,,δὲ,And,2,,ἑαυτοῦ,own,2
μοι,to me,8,,τῶν,those,2,,ἕνεκα,for the sake of,2
ἀλλὰ,But,8,,βέλτιον,benefited,2,,ὃν,whom,2
εἰς,to,8,,ἔτι,And,2,,μὲν δὲ,but,2
τῆς,the,8,,ἑαυτοῦ,his own,2,,συμβάλλεται,conduces,2
δὲ,And,8,,φύσιν,natural,2,,ἔθηκε,brought upon,1
οἱ,the,8,,ἕνεκα,for the sake,2,,αὐτοὺς,them themselves,1
τοὺς,the,8,,καὶ,too,2,,Ἀχαιοῖς,the Achaeans,1
Ἀχιλλεύς,Achilles,7,,δὲ,but,2,,Ἄϊδι,Hades,1
ἀλλ᾽,But,7,,συμβάλλεται,it conduces,2,,προΐαψεν,sent forth to,1
εἴ,if,7,,Ἀχαιοῖς,upon the Achaeans,1,,ἡρώων,heroes,1
ἐπεὶ,since,7,,ἡρώων,of heroes,1,,ἔριδι,to contend,1
ἢ,than,7,,ἔθηκε,brought,1,,ἠτίμασεν,upon had wrought dishonour,1
γέρας,prize,7,,προΐαψεν,sent forth,1,,νοῦσον,an pestilence,1
τὸ,the,7,,Ἄϊδι,to Hades,1,,ἀρητῆρα,priest,1
ταῦτα,this,7,,αὐτοὺς,them,1,,δύω,the two,1
τοῦ,the,7,,μάχεσθαι,to contend,1,,Ἀτρεΐδα,sons of Atreus,1
τῷ,the,7,,νοῦσον,pestilence,1,,ἔχων,he held,1
ὃς,who,6,,ἀρητῆρα,had wrought dishonour,1,,ἁζόμενοι,out of reverence for,1
ἐκ,from,6,,ἠτίμασεν,priest,1,,ἐμοὶ,to me,1
